x,y,n_comp,diff,E_Cr,total_zeros,nontriv_zeros,log_reference
4,2,3,7,0.4286,1,0,trivial_x_eq_2y
6,3,10,37,0.2703,1,0,trivial_x_eq_2y
8,5,35,13,2.6923,0,0,enumerate_compositions
10,5,126,781,0.1613,1,0,trivial_x_eq_2y
10,6,126,295,0.4271,0,0,enumerate_compositions
12,6,462,3367,0.1372,1,0,trivial_x_eq_2y
12,7,462,1909,0.2420,0,0,enumerate_compositions
14,8,1716,9823,0.1747,0,0,enumerate_compositions
16,9,6435,45853,0.1403,0,0,enumerate_compositions
16,10,5005,6487,0.7715,0,0,enumerate_compositions
20,12,75582,517135,0.1462,0,0,enumerate_compositions
22,13,293930,2599981,0.1131,0,0,enumerate_compositions
24,15,817190,2428309,0.3365,0,0,mutual_exclusion_24_15.csv
25,15,1961256,19205525,0.1021,0,0,enumerate_compositions
26,16,3268760,24062143,0.1358,0,0,enumerate_compositions
27,16,7726160,91171007,0.0847,0,0,enumerate_compositions
27,17,5311735,5077565,1.0461,0,0,log_runs.txt
29,18,21474180,149450423,0.1437,0,0,enumerate_compositions
31,19,86493225,985222181,0.0878,0,0,log_runs.txt
32,20,141120525,808182895,0.1746,0,0,log_runs.txt
34,21,573166440,6719515981,0.0853,0,0,log_runs.txt
35,22,927983760,2978678759,0.3115,0,0,log_runs.txt
